Stock,Date,Open,High,Low,Close,Volume
HILTON,20-Sep-24,84.14,87,84.14,84.87,100625
HILTON,19-Sep-24,87.5,88,83.72,84.34,190045
HILTON,18-Sep-24,88,88.73,84.96,87.5,204601
HILTON,17-Sep-24,88.24,90.9,87.5,87.82,171564
HILTON,16-Sep-24,90.01,90.8,87.1,88.1,209499
HILTON,13-Sep-24,92.47,93.09,89.21,89.95,110853
HILTON,12-Sep-24,91.01,94.15,91.01,92.2,224386
HILTON,11-Sep-24,87.7,93.5,87.7,91.65,495385
HILTON,10-Sep-24,87.99,89.77,87,87.21,90876
HILTON,09-Sep-24,88.47,91,86.6,87.39,236355
HILTON,06-Sep-24,87,89.3,84.72,88.58,298953
HILTON,05-Sep-24,88.9,91,85.69,86.31,362066
HILTON,04-Sep-24,90.7,91.49,83.1,88.14,781162
HILTON,03-Sep-24,93.16,95,86.01,90.2,839349
HILTON,02-Sep-24,95,96,90.5,93.21,474122
HILTON,30-Aug-24,83.54,91.43,83.52,91.43,343275
HILTON,29-Aug-24,88,88.38,81.7,83.12,268777
HILTON,28-Aug-24,90.43,90.43,85.15,87.21,46186
HILTON,27-Aug-24,90,92.81,89.34,89.76,266129
HILTON,26-Aug-24,87.76,92.35,86.31,89.64,381708
HILTON,23-Aug-24,83.99,89.74,83.5,87.6,215926
HILTON,22-Aug-24,83,84.89,82.95,83.45,44452
HILTON,21-Aug-24,82.4,83.47,81.79,82.76,52342
HILTON,20-Aug-24,82.5,82.99,81.51,81.92,41037
HILTON,19-Aug-24,81.51,83.35,81.46,82.29,33729
HILTON,16-Aug-24,81.61,83.16,81.11,81.46,53286
HILTON,14-Aug-24,84.9,84.9,80.1,82.3,71471
HILTON,13-Aug-24,84.56,87.3,83,83.32,62202
HILTON,12-Aug-24,85,85.94,84.15,84.77,41032
HILTON,09-Aug-24,86.1,86.95,85.2,85.64,51672
HILTON,08-Aug-24,86.8,87.29,85.1,85.67,36010
HILTON,07-Aug-24,86.16,87.65,84.68,85.09,35323
HILTON,06-Aug-24,83.99,87.65,81.5,84.66,120076
HILTON,05-Aug-24,84.4,85.9,83.1,83.71,113306
HILTON,02-Aug-24,86,87.58,84.83,86.56,39283
HILTON,01-Aug-24,91.99,92,86.4,86.91,108344
HILTON,31-Jul-24,92.8,93.35,90.52,90.73,205665
HILTON,30-Jul-24,87.9,91.75,87.65,91.34,354697
HILTON,29-Jul-24,84.79,88.78,84.79,87.39,177424
HILTON,26-Jul-24,84.64,85.67,84.01,84.57,77623
HILTON,25-Jul-24,85.93,85.93,84.51,84.64,120506
HILTON,24-Jul-24,86.65,86.9,85,85.74,57117
HILTON,23-Jul-24,87.8,87.8,84.02,85.2,68184
HILTON,22-Jul-24,86.5,87.99,86,86.23,84694
HILTON,19-Jul-24,88.9,89.89,86,86.16,62734
HILTON,18-Jul-24,90,90.99,87.4,88.39,88848
HILTON,16-Jul-24,88.2,91.8,88.2,89.85,305127
HILTON,15-Jul-24,92.24,92.24,86.96,87.87,128661
HILTON,12-Jul-24,86.4,90,86.4,89.08,287665
HILTON,11-Jul-24,83.39,86.7,83.21,85.78,208925
HILTON,10-Jul-24,85,85.4,81.7,82.59,343522
HILTON,09-Jul-24,90.9,91.5,86,86,350355
HILTON,08-Jul-24,92.55,92.66,89.25,90.53,470273
HILTON,05-Jul-24,86.3,88.25,86.02,88.25,518498
HILTON,04-Jul-24,81.99,84.05,81.26,84.05,1049811
HILTON,03-Jul-24,78.66,84.6,77.91,80.05,2602445
HILTON,02-Jul-24,90.26,92.14,81.36,81.36,3997623
HILTON,01-Jul-24,95.9,98,89.51,90.41,1414448
HILTON,28-Jun-24,100.99,101.29,94.78,95.05,1470224
HILTON,27-Jun-24,100.89,104.69,98.2,99.87,859992
HILTON,26-Jun-24,102.79,102.79,98.03,100.04,863839
HILTON,25-Jun-24,107.45,108,101.5,101.94,1653275
HILTON,24-Jun-24,112.98,112.99,105.4,106.36,3422399
HILTON,21-Jun-24,110.4,110.45,106.7,108.4,374910
HILTON,20-Jun-24,109,110.99,107.81,109.12,632590
HILTON,19-Jun-24,111,111.6,107.1,108.43,584664
HILTON,18-Jun-24,113.4,113.4,107.62,109.18,867470
HILTON,14-Jun-24,113.8,115.3,110.72,111.07,895572
HILTON,13-Jun-24,119,120.98,112.69,114.3,940483
HILTON,12-Jun-24,119.88,120,116.31,117.88,203211
HILTON,11-Jun-24,119.31,121.17,118.03,119.88,317025
HILTON,10-Jun-24,123.6,124.4,117.89,119.22,137642
HILTON,07-Jun-24,117.9,124.2,114.3,123.45,536757
HILTON,06-Jun-24,111.9,114,110.75,114,378259
HILTON,05-Jun-24,113.9,113.9,108.4,108.6,277639
HILTON,04-Jun-24,119.25,122.95,114.1,114.1,165650
HILTON,03-Jun-24,122.45,122.45,116.65,120.1,301034
HILTON,31-May-24,117.2,120.65,113.65,120.2,274608
HILTON,30-May-24,124.4,124.4,117,119.6,112925
HILTON,29-May-24,121.35,124.4,120.15,122.45,185470
HILTON,28-May-24,124.2,124.2,119.2,121.45,116631
HILTON,27-May-24,127.4,127.4,122.25,124.25,103739
HILTON,24-May-24,127.45,127.45,123.8,124.7,225718
HILTON,23-May-24,128,128,123,124.8,168718
HILTON,22-May-24,124.75,128,120.35,125.7,298460
HILTON,21-May-24,124.45,126,122,124.55,162220
HILTON,18-May-24,121.95,127.2,121,126,51653
HILTON,17-May-24,121.5,122.15,120.2,121.15,113261
HILTON,16-May-24,119.85,124.6,117.7,120.65,383229
HILTON,15-May-24,116.95,118.75,110.2,118.7,250952
